V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29
6.672449456,6.672449456,20.01734837,26.68979782,33.36224728,33.36224728,33.36224728,40.03469674,40.03469674,46.70714619,46.70714619,46.70714619,60.05204511,60.05204511,80.06939347,80.06939347,80.06939347,80.06939347,80.06939347,80.06939347,73.39694402,80.06939347,66.72449456,73.39694402,73.39694402,80.06939347,73.39694402,66.72449456,73.39694402
0,0,0,0,0,0,0,0,1.926448207,9.632241037,13.48513745,13.48513745,15.41158566,15.41158566,15.41158566,25.0438267,26.9702749,32.74961953,59.71989443,69.35213547,69.35213547,77.0579283,90.54306575,98.24885858,105.9546514,113.6604442,123.2926853,130.9984781,136.7778227
1.826083781,1.826083781,1.826083781,1.826083781,3.652167561,7.304335123,7.304335123,7.304335123,9.130418904,9.130418904,9.130418904,10.95650268,10.95650268,12.78258647,10.95650268,10.95650268,12.78258647,12.78258647,14.60867025,16.43475403,16.43475403,18.26083781,20.08692159,21.91300537,23.73908915,23.73908915,27.39125671,27.39125671,32.86950805
0,0,0,0,0,0,0,0,8.145312373,8.145312373,16.29062475,16.29062475,16.29062475,16.29062475,32.58124949,32.58124949,32.58124949,32.58124949,40.72656186,40.72656186,40.72656186,40.72656186,65.16249898,65.16249898,81.45312373,81.45312373,81.45312373,81.45312373,73.30781135
0,18.66542231,18.66542231,18.66542231,27.99813346,27.99813346,37.33084461,37.33084461,46.66355576,55.99626692,55.99626692,65.32897807,74.66168922,83.99440037,83.99440037,83.99440037,93.32711153,102.6598227,167.9888007,167.9888007,167.9888007,149.3233784,177.3215119,177.3215119,186.6542231,195.9869342,195.9869342,214.6523565,205.3196454
0,0,2.703725734,5.407451468,5.407451468,5.407451468,5.407451468,8.111177202,8.111177202,10.81490294,10.81490294,10.81490294,10.81490294,13.51862867,24.33353161,27.03725734,27.03725734,29.74098307,35.14843454,35.14843454,43.25961174,45.96333748,45.96333748,48.66706321,54.07451468,56.77824042,62.18569188,64.88941762,70.29686909
0,0,7.233796296,7.233796296,7.233796296,7.233796296,7.233796296,7.233796296,7.233796296,7.233796296,14.46759259,14.46759259,14.46759259,14.46759259,14.46759259,14.46759259,14.46759259,14.46759259,21.70138889,21.70138889,21.70138889,21.70138889,28.93518519,36.16898148,43.40277778,43.40277778,43.40277778,43.40277778,43.40277778
4.793748951,7.190623427,7.190623427,8.389060665,8.389060665,9.587497903,9.587497903,10.78593514,9.587497903,16.77812133,16.77812133,16.77812133,22.77030752,23.96874476,25.16718199,25.16718199,33.55624266,35.95311714,45.54061504,44.3421778,45.54061504,44.3421778,46.73905228,45.54061504,49.13592675,47.93748951,51.53280123,51.53280123,52.73123847
0,0,0,0,0,0,0,0,2.042650543,2.042650543,4.085301087,4.085301087,8.170602173,8.170602173,8.170602173,12.25590326,12.25590326,12.25590326,16.34120435,24.51180652,24.51180652,24.51180652,28.59710761,28.59710761,34.72505924,40.85301087,42.89566141,42.89566141,42.89566141
5.220569042,5.220569042,5.220569042,5.220569042,5.220569042,5.220569042,5.220569042,5.220569042,10.44113808,18.27199165,18.27199165,18.27199165,18.27199165,18.27199165,18.27199165,18.27199165,28.71312973,28.71312973,36.54398329,36.54398329,39.15426782,46.98512138,49.5954059,49.5954059,52.20569042,60.03654398,62.6468285,70.47768207,67.86739755
0,1.400854521,1.400854521,5.603418085,5.603418085,5.603418085,5.603418085,7.004272606,11.20683617,14.00854521,18.21110878,19.6119633,19.6119633,19.6119633,19.6119633,21.01281782,23.81452686,29.41794495,36.42221755,37.82307207,40.62478112,39.2239266,44.82734468,42.02563564,53.23247181,56.03418085,61.63759894,67.24101702,74.24528963
